ISOCode,Location,Location-en,RecDtm,Pop,Confirmed,ConfPerMillion,ConfDColors,Recovered,Deaths,WaveID,ProvCode,HASC,Latitude,Longtitude,VNAreaID,Domain,Domain-en,RegionID,RegionCode,Region,Region-en
VN-02,Lào Cai,Lao Cai,2022-03-11 12:00:00,67206,57096,849567,"500,001-1,000,000",17,7,4,10,VN.LO,22.4194,103.995,1,Tây Bắc Bộ,Northwes,1,VN.NW,Bắc bộ,Northwes
VN-03,Hà Giang,Ha Giang,2022-03-11 12:00:00,38362,61142,1593817,"Trên 1,000,000",16,10,4,02,VN.HG,22.8233,104.9836,2,Đông Bắc Bộ,Northeast,1,VN.NE,Bắc bộ,Northwes
VN-04,Cao Bằng,Cao Bang,2022-03-11 12:00:00,41112,32620,793442,"500,001-1,000,000",9,5,4,04,VN.CB,22.6731,106.25,2,Đông Bắc Bộ,Northeast,1,VN.NE,Bắc bộ,Northwes
VN-05,Sơn La,Son La,2022-03-11 12:00:00,19054,71774,3766873,"Trên 1,000,000",33,14,4,14,VN.SL,21.327,103.9141,1,Tây Bắc Bộ,Northwes,1,VN.NW,Bắc bộ,Northwes
VN-06,Yên Bái,Yen Bai,2022-03-11 12:00:00,96540,47506,492086,"100,001-500,000",28,0,4,15,VN.YB,21.7,104.8667,1,Tây Bắc Bộ,Northwes,1,VN.NW,Bắc bộ,Northwes
VN-07,Tuyên Quang,Tuyen Quang,2022-03-11 12:00:00,36430,56629,1554461,"Trên 1,000,000",31,8,4,08,VN.TQ,21.8281,105.2156,2,Đông Bắc Bộ,Northeast,1,VN.NE,Bắc bộ,Northwes
VN-09,Lạng Sơn,Lang Son,2022-03-11 12:00:00,148000,64390,435068,"100,001-500,000",26,6,4,20,VN.LS,21.8478,106.7578,2,Đông Bắc Bộ,Northeast,1,VN.NE,Bắc bộ,Northwes
VN-13,Quảng Ninh,Quang Ninh,2022-03-11 12:00:00,172915,164449,951040,"500,001-1,000,000",66,26,4,22,VN.QN,20.95,107.0833,2,Đông Bắc Bộ,Northeast,1,VN.NE,Bắc bộ,Northwes
VN-14,Hòa Bình,Hoa Binh,2022-03-11 12:00:00,121309,113829,938339,"500,001-1,000,000",31,17,4,17,VN.HO,20.8172,105.3375,1,Tây Bắc Bộ,Northwes,1,VN.NW,Bắc bộ,Northwes
VN-18,Ninh Bình,Ninh Binh,2022-03-11 12:00:00,130517,59186,453473,"100,001-500,000",30,8,4,37,VN.NB,20.2539,105.975,3,Đồng bằng sông Hồng,Red River Delta,1,VN.RR,Bắc bộ,Northwes
VN-20,Thái Bình,Thai Binh,2022-03-11 12:00:00,268167,83736,312253,"100,001-500,000",27,7,4,34,VN.TB,20.4461,106.3422,3,Đồng bằng sông Hồng,Red River Delta,1,VN.RR,Bắc bộ,Northwes
VN-21,Thanh Hóa,Thanh Hoa,2022-03-11 12:00:00,393294,85024,216184,"100,001-500,000",48,0,4,38,VN.TH,19.8075,105.7764,4,Bắc Trung Bộ,North Central,2,VN.NC,Trung bộ,North Central
VN-22,Nghệ An,Nghe An,2022-03-11 12:00:00,490000,194339,396610,"100,001-500,000",66,25,4,40,VN.NA,18.6733,105.6922,4,Bắc Trung Bộ,North Central,2,VN.NC,Trung bộ,North Central
VN-23,Hà Tĩnh,Ha Tinh,2022-03-11 12:00:00,165396,22673,137083,"100,001-500,000",6,5,4,42,VN.HT,18.3428,105.9058,4,Bắc Trung Bộ,North Central,2,VN.NC,Trung bộ,North Central
VN-24,Quảng Bình,Quang Binh,2022-03-11 12:00:00,160325,48022,299529,"100,001-500,000",21,7,4,44,VN.QB,17.4833,106.6,4,Bắc Trung Bộ,North Central,2,VN.NC,Trung bộ,North Central
VN-25,Quảng Trị,Quang Tri,2022-03-11 12:00:00,72722,29886,410962,"100,001-500,000",11,7,4,45,VN.QT,16.7504,107.2,4,Bắc Trung Bộ,North Central,2,VN.NC,Trung bộ,North Central
VN-26,Thừa Thiên-Huế,Thua Thien-Hue,2022-03-11 12:00:00,455230,30763,67577,"50,001-100,000",8,5,4,46,VN.TT,16.4667,107.5833,4,Bắc Trung Bộ,North Central,2,VN.NC,Trung bộ,North Central
VN-27,Quảng Nam,Quang Nam,2022-03-11 12:00:00,1000000,37042,37042,"10,001-50,000",13,1,4,49,VN.QM,15.8733,108.3327,5,Nam Trung Bộ,South Central Coast,2,VN.SC,Trung bộ,North Central
VN-28,Kon Tum,Kon Tum,2022-03-11 12:00:00,105489,9421,89308,"50,001-100,000",3,0,4,62,VN.KT,14.3417,107.9792,6,Tây Nguyên,Central Highlands,2,VN.CH,Trung bộ,North Central
VN-29,Quảng Ngãi,Quang Ngai,2022-03-11 12:00:00,260252,24212,93033,"50,001-100,000",12,2,4,51,VN.QG,15.1206,108.7922,5,Nam Trung Bộ,South Central Coast,2,VN.SC,Trung bộ,North Central
VN-30,Gia Lai,Gia Lai,2022-03-11 12:00:00,146073,28570,195587,"100,001-500,000",9,6,4,64,VN.GL,13.9833,108,6,Tây Nguyên,Central Highlands,2,VN.CH,Trung bộ,North Central
VN-31,Bình Định,Binh Dinh,2022-03-11 12:00:00,311000,78845,253521,"100,001-500,000",20,2,4,52,VN.BD,13.7765,109.2237,5,Nam Trung Bộ,South Central Coast,2,VN.SC,Trung bộ,North Central
VN-32,Phú Yên,Phu Yen,2022-03-11 12:00:00,242840,27052,111398,"100,001-500,000",11,1,4,54,VN.PY,13.0875,109.3106,5,Nam Trung Bộ,South Central Coast,2,VN.SC,Trung bộ,North Central
VN-33,Đắk Lắk,Dak Lak,2022-03-11 12:00:00,340000,64274,189041,"100,001-500,000",37,1,4,66,VN.DC,12.6667,108.05,6,Tây Nguyên,Central Highlands,2,VN.CH,Trung bộ,North Central
VN-34,Khánh Hòa,Khanh Hoa,2022-03-11 12:00:00,392279,97387,248260,"100,001-500,000",40,19,4,56,VN.KH,12.25,109.1833,5,Nam Trung Bộ,South Central Coast,2,VN.SC,Trung bộ,North Central
VN-35,Lâm Đồng,Lam Dong,2022-03-11 12:00:00,256019,38947,152125,"100,001-500,000",20,7,4,68,VN.LD,11.9359,108.4429,6,Tây Nguyên,Central Highlands,2,VN.CH,Trung bộ,North Central
VN-36,Ninh Thuận,Ninh Thuan,2022-03-11 12:00:00,179773,7430,41330,"10,001-50,000",3,0,4,58,VN.NT,11.5643,108.9886,5,Nam Trung Bộ,South Central Coast,2,VN.SC,Trung bộ,North Central
VN-37,Tây Ninh,Tay Ninh,2022-03-11 12:00:00,126370,100595,796035,"500,001-1,000,000",60,17,4,72,VN.TN,11.3131,106.0963,7,Đông Nam Bộ,Southeast,3,VN.SE,Nam bộ,Southeast
VN-39,Đồng Nai,Dong Nai,2022-03-11 12:00:00,349279,103453,296190,"100,001-500,000",42,9,4,75,VN.DN,10.9575,106.8426,7,Đông Nam Bộ,Southeast,3,VN.SE,Nam bộ,Southeast
VN-40,Bình Thuận,Binh Thuan,2022-03-11 12:00:00,205333,37584,183039,"100,001-500,000",18,8,4,60,VN.BU,10.9375,108.1583,5,Nam Trung Bộ,South Central Coast,2,VN.SC,Trung bộ,North Central
VN-41,Long An,Long An,2022-03-11 12:00:00,137498,44075,320550,"100,001-500,000",22,5,4,80,VN.LA,10.5322,106.4042,8,Đồng bằng sông Cửu Long,Mekong River Delta | Southwest,3,VN.MR,Nam bộ,Southeast
VN-43,Bà Rịa-Vũng Tàu,Ba Ria-Vung Tau,2022-03-11 12:00:00,327000,50326,153902,"100,001-500,000",15,10,4,77,VN.BV,10.4042,107.1417,7,Đông Nam Bộ,Southeast,3,VN.SE,Nam bộ,Southeast
VN-44,An Giang,An Giang,2022-03-11 12:00:00,278658,36587,131297,"100,001-500,000",17,4,4,89,VN.AG,10.7,105.1167,8,Đồng bằng sông Cửu Long,Mekong River Delta | Southwest,3,VN.MR,Nam bộ,Southeast
VN-45,Đồng Tháp,Dong Thap,2022-03-11 12:00:00,213610,48558,227321,"100,001-500,000",17,5,4,87,VN.DT,10.4603,105.6331,8,Đồng bằng sông Cửu Long,Mekong River Delta | Southwest,3,VN.MR,Nam bộ,Southeast
VN-46,Tiền Giang,Tien Giang,2022-03-11 12:00:00,124143,35678,287394,"100,001-500,000",11,5,4,82,VN.TG,10.35,106.35,8,Đồng bằng sông Cửu Long,Mekong River Delta | Southwest,3,VN.MR,Nam bộ,Southeast
VN-47,Kiên Giang,Kien Giang,2022-03-11 12:00:00,250660,35557,141854,"100,001-500,000",18,2,4,91,VN.KG,10.2289,103.9572,8,Đồng bằng sông Cửu Long,Mekong River Delta | Southwest,3,VN.MR,Nam bộ,Southeast
VN-49,Vĩnh Long,Vinh Long,2022-03-11 12:00:00,103314,60501,585603,"500,001-1,000,000",36,6,4,86,VN.VL,10.255,105.9753,8,Đồng bằng sông Cửu Long,Mekong River Delta | Southwest,3,VN.MR,Nam bộ,Southeast
VN-50,Bến Tre,Ben Tre,2022-03-11 12:00:00,59442,54474,916423,"500,001-1,000,000",16,0,4,83,VN.BR,10.2333,106.3833,8,Đồng bằng sông Cửu Long,Mekong River Delta | Southwest,3,VN.MR,Nam bộ,Southeast
VN-51,Trà Vinh,Tra Vinh,2022-03-11 12:00:00,131360,52740,401492,"100,001-500,000",16,12,4,84,VN.TV,9.9369,106.3411,8,Đồng bằng sông Cửu Long,Mekong River Delta | Southwest,3,VN.MR,Nam bộ,Southeast
VN-52,Sóc Trăng,Soc Trang,2022-03-11 12:00:00,300000,32661,108870,"100,001-500,000",18,5,4,94,VN.ST,9.6,105.9719,8,Đồng bằng sông Cửu Long,Mekong River Delta | Southwest,3,VN.MR,Nam bộ,Southeast
VN-53,Bắc Kạn,Bac Kan,2022-03-11 12:00:00,29227,12285,420331,"100,001-500,000",6,0,4,06,VN.BK,22.1333,105.8333,2,Đông Bắc Bộ,Northeast,1,VN.NE,Bắc bộ,Northwes
VN-54,Bắc Giang,Bac Giang,2022-03-11 12:00:00,53728,147922,2753164,"Trên 1,000,000",71,18,4,24,VN.BG,21.2731,106.1947,2,Đông Bắc Bộ,Northeast,1,VN.NE,Bắc bộ,Northwes
VN-55,Bạc Liêu,Bac Lieu,2022-03-11 12:00:00,225000,39861,177160,"100,001-500,000",24,3,4,95,VN.BL,9.2833,105.7167,8,Đồng bằng sông Cửu Long,Mekong River Delta | Southwest,3,VN.MR,Nam bộ,Southeast
VN-56,Bắc Ninh,Bac Ninh,2022-03-11 12:00:00,520000,212136,407954,"100,001-500,000",64,8,4,27,VN.BN,21.1861,106.0763,3,Đồng bằng sông Hồng,Red River Delta,1,VN.RR,Bắc bộ,Northwes
VN-57,Bình Dương,Binh Duong,2022-03-11 12:00:00,244277,333615,1365724,"Trên 1,000,000",133,40,4,74,VN.BI,11.0042,106.6583,7,Đông Nam Bộ,Southeast,3,VN.SE,Nam bộ,Southeast
VN-58,Bình Phước,Binh Phuoc,2022-03-11 12:00:00,40279,79806,1981330,"Trên 1,000,000",38,14,4,70,VN.BP,11.6504,106.6,7,Đông Nam Bộ,Southeast,3,VN.SE,Nam bộ,Southeast
VN-59,Cà Mau,Ca Mau,2022-03-11 12:00:00,315270,88807,281686,"100,001-500,000",25,17,4,96,VN.CM,9.1833,105.15,8,Đồng bằng sông Cửu Long,Mekong River Delta | Southwest,3,VN.MR,Nam bộ,Southeast
VN-61,Hải Dương,Hai Duong,2022-03-11 12:00:00,507469,117537,231614,"100,001-500,000",63,9,4,30,VN.HD,20.9411,106.3331,3,Đồng bằng sông Hồng,Red River Delta,1,VN.RR,Bắc bộ,Northwes
VN-63,Hà Nam,Ha Nam,2022-03-11 12:00:00,158212,34639,218940,"100,001-500,000",14,2,4,35,VN.HM,20.5453,105.9122,3,Đồng bằng sông Hồng,Red River Delta,1,VN.RR,Bắc bộ,Northwes
VN-66,Hưng Yên,Hung Yen,2022-03-11 12:00:00,1252731,86739,69240,"50,001-100,000",47,8,4,33,VN.HY,20.6464,106.0511,3,Đồng bằng sông Hồng,Red River Delta,1,VN.RR,Bắc bộ,Northwes
VN-67,Nam Định,Nam Dinh,2022-03-11 12:00:00,352108,112211,318683,"100,001-500,000",34,22,4,36,VN.ND,20.42,106.1683,3,Đồng bằng sông Hồng,Red River Delta,1,VN.RR,Bắc bộ,Northwes
VN-68,Phú Thọ,Phu Tho,2022-03-11 12:00:00,277539,141561,510058,"500,001-1,000,000",65,8,4,25,VN.PT,21.3228,105.4019,2,Đông Bắc Bộ,Northeast,1,VN.NE,Bắc bộ,Northwes
VN-69,Thái Nguyên,Thai Nguyen,2022-03-11 12:00:00,330000,107355,325318,"100,001-500,000",44,9,4,19,VN.TY,21.6,105.85,2,Đông Bắc Bộ,Northeast,1,VN.NE,Bắc bộ,Northwes
VN-70,Vĩnh Phúc,Vinh Phuc,2022-03-11 12:00:00,119128,153524,1288731,"Trên 1,000,000",69,28,4,26,VN.VC,21.31,105.5967,3,Đồng bằng sông Hồng,Red River Delta,1,VN.RR,Bắc bộ,Northwes
VN-71,Điện Biên,Dien Bien,2022-03-11 12:00:00,58519,32257,551223,"500,001-1,000,000",12,4,4,11,VN.DB,21.3833,103.0169,1,Tây Bắc Bộ,Northwes,1,VN.NW,Bắc bộ,Northwes
VN-72,Đắk Nông,Dak Nong,2022-03-11 12:00:00,63046,24650,390984,"100,001-500,000",13,1,4,67,VN.DO,12.0042,107.6907,6,Tây Nguyên,Central Highlands,2,VN.CH,Trung bộ,North Central
VN-73,Hậu Giang,Hau Giang,2022-03-11 12:00:00,97200,16049,165113,"100,001-500,000",5,2,4,93,VN.HU,9.7833,105.4708,8,Đồng bằng sông Cửu Long,Mekong River Delta | Southwest,3,VN.MR,Nam bộ,Southeast
VN-CT,Cần Thơ,Can Tho,2022-03-11 12:00:00,1237300,46640,37695,"10,001-50,000",24,0,4,92,VN.CN,10.0333,105.7833,8,Đồng bằng sông Cửu Long,Mekong River Delta | Southwest,3,VN.MR,Nam bộ,Southeast
VN-DN,Đà Nẵng,Da Nang,2022-03-11 12:00:00,185064,71075,384056,"100,001-500,000",36,1,4,48,VN.DA,16.0748,108.224,5,Nam Trung Bộ,South Central Coast,2,VN.SC,Trung bộ,North Central
VN-HN,Hà Nội,Ha Noi,2022-03-11 12:00:00,7785000,553911,71151,"50,001-100,000",161,127,4,01,VN.HI,21.0245,105.8412,3,Đồng bằng sông Hồng,Red River Delta,1,VN.RR,Bắc bộ,Northwes
VN-HP,Hải Phòng,Hai Phong,2022-03-11 12:00:00,2103500,95332,45321,"10,001-50,000",40,10,4,31,VN.HP,20.8,106.6667,3,Đồng bằng sông Hồng,Red River Delta,1,VN.RR,Bắc bộ,Northwes
VN-SG,TP. Hồ Chí Minh,Ho Chi Minh City,2022-03-11 12:00:00,13312000,565391,42472,"10,001-50,000",294,45,4,79,VN.HC,10.8167,106.6333,7,Đông Nam Bộ,Southeast,3,VN.SE,Nam bộ,Southeast
